"Index","baseMean","log2FoldChange","lfcSE","pvalue","padj","stat","gene.symbol"
111,93.505288075474,2.09186952569887,0.682637146244651,2.83162937569691e-05,0.0175002478575458,4.18660101841359,"TAC1"
591,1904.79965771442,0.580927915516102,0.176001007147059,2.85288384410427e-05,0.0175002478575458,4.18490261238093,"RCN1"
683,661.815046651594,1.02949213678203,0.286437187371363,7.74239353207971e-06,0.0083848096826703,4.47218628375952,"GYG2"
945,2630.18317507718,0.360643376079057,0.1266042016581,0.00016344678989142,0.0486419387665759,3.76969557194303,"IP6K2"
1111,4169.09828244641,0.690252754711912,0.2485765195467,0.000133377954198114,0.0443176039897025,3.82013628777269,"ST6GAL1"
1943,29.3340916025972,-1.36353756044752,0.436965393149057,0.000111046092804866,0.0393572029809957,-3.86509472832507,"TPTEP1"
2213,1520.91851318462,1.72117938397244,0.486037835292022,7.11257674113716e-06,0.0083848096826703,4.49029150145829,"WFDC2"
2294,368.885070640223,0.0079890056595566,0.0541332409465577,8.66316695390475e-05,0.0345304131726034,3.92527233922036,"PCSK1N"
2529,99.4967562570152,-0.00975169401720733,0.0544485910116536,7.83551108411865e-05,0.0320433034257509,-3.94937623719967,"CALB1"
4147,54.763924552301,-1.35241689427372,0.354109652634339,9.15182409503075e-06,0.00858602602892032,-4.43630010008701,"SLC16A7"
4189,1017.4160507937,0.909359049793245,0.298922333254182,5.48199383589984e-05,0.0259852525462712,4.03406587576597,"PIGZ"
4258,373.469843558571,0.893244805820774,0.197102943281036,1.70895360626897e-07,0.000454268351106396,5.22849510202879,"KLHL29"
4295,27.8226002544406,0.0057947381777847,0.0536997817777072,8.41162172692487e-06,0.0083848096826703,4.45443038131241,"CPN1"
5568,137.041037122522,2.51863395159298,0.518772772287072,1.59682358369907e-05,0.0111820811856044,4.3148900508462,"VSTM2L"
5762,202.897381701457,1.82231182202117,0.620378757014933,4.4926102448666e-05,0.0231137550952831,4.08056635063471,"ECHDC3"
5814,27.8248334235331,3.29888064687792,0.878016373653824,1.66070340298116e-06,0.00294295095268294,4.79085714101937,"CLDN10"
6085,34.1897544505371,0.00374992808469118,0.0534935859236894,1.52179151506186e-05,0.0111820811856044,4.32551030848995,"GATA4"
6300,486.607512577867,1.61490679042516,0.516248600444873,2.81624496840764e-05,0.0175002478575458,4.18783793640211,"STRA6"
6363,899.264612919135,2.30872483601967,0.495843739665077,4.97556421556506e-08,0.000198388184185118,5.45218147147812,"RBP4"
6418,1024.45086690167,0.828523593861079,0.262868957192143,4.05691159309599e-05,0.0220400296608538,4.1042143673055,"FAM13A"
6592,49.3347692923714,0.00545310259600504,0.0535379654325743,4.29592165537217e-07,0.000978795064021867,5.05535444500212,"SERPINA10"
6997,111.16853677001,-1.11362499777344,0.352108997652351,8.88343933081751e-05,0.0345304131726034,-3.91922435594959,"S100A8"
7043,117.743915174319,1.82347861894003,0.691157246911319,0.000101123936004172,0.0366551285302396,3.88787918469572,"REN"
7433,82.7306253305812,-2.22066907346772,0.498683947769093,8.43911814029719e-07,0.001682443690245,-4.92492855708721,"FAM83A"
7577,96.3147685798211,3.22124620575753,0.489769901331827,2.58913658315024e-08,0.000137647131215544,5.56716738587453,"DRD2"
8227,87.8200946489881,-1.14383727061241,0.35261863100794,6.89053696953306e-05,0.0305269928130785,-3.98003414754759,"NRG1"
8382,97.3547530962023,1.54913713895285,0.463521430896107,1.47506317217803e-05,0.0111820811856044,4.33237962188994,"EDA"
8900,35.7663086901072,-0.0176086224239621,0.0576015988356505,3.8980667991099e-06,0.00518085561491699,-4.61674451165415,"SPRR2D"
8973,51.8776443257798,-1.47646315567364,0.426954949141667,3.71197547072842e-05,0.0211436774223741,-4.12471286716928,"AIM2"
8993,12.1501473465494,3.79512169867176,0.798848733178953,8.28955544422199e-06,0.0083848096826703,4.45756590749057,"SYNPR"
9023,602.933167094073,-0.0512053749921404,0.105516054376016,1.97230554923762e-12,3.14563012047908e-08,-7.0364279550558,"PPBP"
9383,84.5133787336488,0.00908713463143238,0.0544057861997799,3.29391378702277e-06,0.0047758755444751,4.65158629689737,"PHYHIPL"
9714,1442.41150130468,4.02951440690887,0.846242337863946,1.50328001875634e-08,0.000119879065095725,5.66118870971197,"IGF2"
10574,1439.48835875585,0.00939159616312828,0.0542003589797448,1.61256421887831e-05,0.0111820811856044,4.31272255945795,"FGGY"
