"pathway","NES_original_n87","padj_original_n87","NES_sensitivity_n79","padj_sensitivity_n79"
"HALLMARK_ALLOGRAFT_REJECTION",-1.57627886494398,0.0049563822225296,-2.75263847444081,1.26249606624486e-17
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.73735312808159,0.0049563822225296,1.46507648989284,0.0520201537502226
"HALLMARK_COMPLEMENT",-1.45481976144389,0.0196122339881938,-2.24462422384409,8.9439167683676e-10
"HALLMARK_E2F_TARGETS",-2.65465270911091,4.80597046146857e-17,-1.04577867913039,0.464241866175568
"HALLMARK_G2M_CHECKPOINT",-2.58769412209672,1.84689795996691e-15,-1.50319709827833,0.00356891076298841
"HALLMARK_INFLAMMATORY_RESPONSE",-1.32686909623635,0.0483813992969738,-2.48439991277836,2.9305696208852e-14
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.68350696105818,0.00846443039533201,-2.06047819626531,5.88332146305396e-06
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.08858951679088,1.22879645241339e-07,-2.94084314525488,3.18932519369257e-24
"HALLMARK_MYC_TARGETS_V1",-1.56738294053977,0.00321780222715703,0.600354690699152,1
