"pathway","NES_original_n87","padj_original_n87","NES_real_biologic_excl_n79","padj_real_biologic_excl_n79","NES_random_median","NES_random_range","padj_random_median","pct_random_sig_padj05","n_random_draws"
"HALLMARK_E2F_TARGETS",-2.65465270911091,4.80597046146857e-17,-1.04577867913039,0.464241866175568,-2.21635022283925,"[-3.28, -0.56]",9.03710488253194e-10,88,50
"HALLMARK_G2M_CHECKPOINT",-2.58769412209672,1.84689795996691e-15,-1.50319709827833,0.00356891076298841,-2.31663806312235,"[-3.11, -0.83]",7.6023475138819e-11,94,50
"HALLMARK_MYC_TARGETS_V1",-1.56738294053977,0.00321780222715703,0.600354690699152,1,-1.20951255977586,"[-2.80, 1.66]",0.053181395692621,50,50
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.73735312808159,0.0049563822225296,1.46507648989284,0.0520201537502226,1.67167222337172,"[1.08, 2.31]",0.0102448190522173,66,50
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.08858951679088,1.22879645241339e-07,-2.94084314525488,3.18932519369257e-24,-1.99620619383723,"[-2.92, 1.73]",1.22793394964915e-06,82,50
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.68350696105818,0.00846443039533201,-2.06047819626531,5.88332146305396e-06,-1.57084205953785,"[-2.81, 1.52]",0.0103699454008324,66,50
"HALLMARK_INFLAMMATORY_RESPONSE",-1.32686909623635,0.0483813992969738,-2.48439991277836,2.9305696208852e-14,-1.25187884186258,"[-2.39, 2.17]",0.013942690769502,58,50
"HALLMARK_ALLOGRAFT_REJECTION",-1.57627886494398,0.0049563822225296,-2.75263847444081,1.26249606624486e-17,-1.56962265955479,"[-3.02, 2.30]",0.000257365236162445,68,50
"HALLMARK_COMPLEMENT",-1.45481976144389,0.0196122339881938,-2.24462422384409,8.9439167683676e-10,-1.40357283540667,"[-2.44, 1.99]",0.00930874335124137,64,50
