"pathway","NES","padj","permutation","n_overlap_with_biologic","dropped_ids"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.56727026329315,0.0401956200121864,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",-1.21813128453142,0.173422935183178,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.19948265028469,0.281408859840232,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",-1.0455331069206,0.585764809902741,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",-0.925989440630385,0.847808105872622,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.16820954732698,1.02305855092705e-08,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.94261406257681,1.48547716235663e-06,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-1.81900210929479,6.37031160603024e-05,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.70702506851924,0.000783168115975389,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.57861238280537,0.016855956901964,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.40410781666608,0.0974009200081253,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-1.07569715867997,0.524977895667551,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-1.01830491624332,0.628591954022989,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",0.671907171541309,1,12,3,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-6606/TCGA-CI-6620/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-3.28015671443118,2.25548609172244e-31,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_MYC_TARGETS_V1",-2.79858853002305,9.02722985908537e-20,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_G2M_CHECKPOINT",-2.77153588490304,5.45641987306253e-19,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.45376193174966,0.0731114137716851,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.30199856548975,0.179770393736244,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_ALLOGRAFT_REJECTION",-0.932854747951646,0.775276125743416,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_COMPLEMENT",0.925937244799881,0.775276125743416,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_INFLAMMATORY_RESPONSE",0.929764792542665,0.775276125743416,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.910074680086773,0.775276125743416,13,4,"TCGA-5M-AAT6/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-6606/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_E2F_TARGETS",-2.86863239223258,4.63398912915003e-22,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.75367730043527,1.26290554807012e-17,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_ALLOGRAFT_REJECTION",-2.64823248654837,5.1487585701249e-15,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_G2M_CHECKPOINT",-2.56248883295313,9.40964910367881e-15,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_COMPLEMENT",-2.07876380722919,2.31623178746766e-07,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_MYC_TARGETS_V1",-1.98731315694106,3.41223433582084e-07,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.23150411119079,3.91734758644735e-07,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.9924889230699,1.47669847191756e-06,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.36860264090351,0.0992,14,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-3584/TCGA-AG-3999/TCGA-AZ-4684/TCGA-CI-6620/TCGA-NH-A6GA"
"HALLMARK_E2F_TARGETS",-2.50745083418599,4.88298893000555e-13,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_G2M_CHECKPOINT",-2.31551476570361,9.07605986777989e-11,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2.14571638580077,1.1414485898967e-05,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",-1.82818104037447,4.13905581215886e-05,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",-1.62354407408964,0.00128284395970944,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.60122688212348,0.00128284395970944,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",-1.33473729880773,0.0288148087611278,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.30427503344048,0.0475798295223744,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.807263655854016,0.941922733647839,15,3,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-A02K/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-NH-A6GB"
"HALLMARK_G2M_CHECKPOINT",-2.61680423805201,1.64569488371116e-15,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-2.46637762838752,4.8108452777887e-14,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",1.81674889158184,8.04668648471094e-05,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",1.70576363679628,0.00123452576758183,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",-1.38718091242958,0.0188119131314115,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.5632558337905,0.0263861410361177,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",1.42384470663964,0.0538203349594209,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.27705895846632,0.135441292356186,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.0265910404356,0.52955970387163,16,3,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3930/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-F5-6702/TCGA-NH-A6GB"
"HALLMARK_G2M_CHECKPOINT",-2.64301781935367,1.8639733103808e-16,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.51274870469353,1.20972108924822e-14,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-2.43439164762188,1.91040830385194e-13,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",-2.0278043382786,6.5860891390259e-07,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.20093075869542,1.15119807695109e-06,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2.04385361915874,3.36757216207385e-05,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",-1.79392448965455,5.46056325255216e-05,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.53178668138976,0.00566509286550995,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",0.868985250240277,0.842774247029566,17,5,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-3.21696445316563,8.24190184431412e-30,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_G2M_CHECKPOINT",-2.84862019619069,5.95986417015541e-21,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_MYC_TARGETS_V1",-2.46882398390089,4.61181261193256e-14,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_ALLOGRAFT_REJECTION",1.70037913798782,0.00043426360747778,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_INFLAMMATORY_RESPONSE",1.6222564313272,0.00120436316246005,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.6534597196452,0.00748357535904579,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_COMPLEMENT",1.52040898854383,0.00782876575949499,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.23961440442599,0.141196915390464,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.08544953619128,0.348784878487849,18,1,"TCGA-5M-AAT6/TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702"
"HALLMARK_G2M_CHECKPOINT",-2.6448142802027,3.38784542350635e-16,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_E2F_TARGETS",-2.34342450848465,2.14975615595624e-11,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2.01078043938915,3.68210190850003e-05,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.69852294247253,0.000208412245188302,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_ALLOGRAFT_REJECTION",-1.44735052962361,0.0105176950591075,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.3965358871694,0.0760125416664386,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_INFLAMMATORY_RESPONSE",1.15222564863599,0.353470437017995,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_COMPLEMENT",-0.890941421724858,0.918278635079331,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_MYC_TARGETS_V1",-0.888189625874648,0.931525555989075,19,4,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-F5-6702"
"HALLMARK_E2F_TARGETS",-1.93833427728823,1.10773673648106e-06,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-1.89763881237273,2.6183898524849e-06,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-1.8295419558333,8.39624181279903e-06,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.63646642878183,0.0107887209429878,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",1.5305472587446,0.0107887209429878,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",1.41705433589125,0.0504009688985537,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",1.38520276301383,0.0672658920323787,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.02585713707731,0.644783118405627,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.964148813835725,0.726438874107268,20,2,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-CI-6620/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-2.7211763132168,3.71907641507693e-18,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-2.65187741929616,1.35169387630516e-17,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",-2.07157800960923,5.07239054245307e-08,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",1.92034517852856,1.30209860596921e-05,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",1.68371609889208,0.00084820509683015,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",1.65628560280824,0.00152465166831243,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.45319217961112,0.0159729013831807,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.37581662069357,0.0985188204919147,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.32141114481071,0.141242937853107,21,4,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-2.90880832948361,1.25248063795212e-23,22,4,"TCGA-AA-3680/TCGA-AD-6964/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-NH-A6GA/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-2.62471551669091,1.55033349992915e-16,22,4,"TCGA-AA-3680/TCGA-AD-6964/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-NH-A6GA/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.05670289552697,9.73146199652401e-08,22,4,"TCGA-AA-3680/TCGA-AD-6964/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-NH-A6GA/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-2.0281827475785,1.09180095416717e-07,22,4,"TCGA-AA-3680/TCGA-AD-6964/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-AZ-6606/TCGA-NH-A6GA/TCGA-NH-A6GB/TCGA-RU-A8FL"
