"pathway","NES","padj","permutation","n_overlap_with_biologic","dropped_ids"
"HALLMARK_E2F_TARGETS",-2.59151983470735,5.00230596948633e-16,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.81252485457292,2.8529398904988e-14,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_G2M_CHECKPOINT",-2.46502940827261,1.27889252363278e-13,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_ALLOGRAFT_REJECTION",-1.87685070365663,1.04397275723997e-05,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_COMPLEMENT",-1.67377628921014,0.000437640636170321,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.37700055508577,0.0180676001515212,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_MYC_TARGETS_V1",-1.1553672336104,0.331294597349643,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.08194372537834,0.545628972298837,3,3,"TCGA-AA-3680/TCGA-AA-3844/TCGA-AA-3930/TCGA-AG-3999/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GA"
"HALLMARK_E2F_TARGETS",-2.23885318541628,9.2690654423888e-10,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_G2M_CHECKPOINT",-2.12913956758195,3.53106593080774e-08,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.92660964423555,0.000369715088297652,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.60356630952791,0.00294643064170535,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.65335966971503,0.0107023055789106,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_INFLAMMATORY_RESPONSE",0.91732162356046,0.882941298199628,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",0.818172456931073,0.958702064896755,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",-0.746216770258107,1,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",0.750724679813275,1,4,2,"TCGA-AA-3930/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3999/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB"
