"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.221027479091995,0.46047391477499,0.0959206777921745,0.249369021801377,1.12098428746895,196,"PHYH/HSD17B10/PDHB/HCCS/PDHA1/IDH2/NDUFB4/SUCLG1/BDH2/LDHB/ATP5ME/LDHA/ACAT1/NDUFA6/SLC25A6/ATP6AP1/ATP5MC2/IDH3G/UQCRC1/NDUFB6/TIMM8B/UQCRQ/NDUFC1/COX4I1/SLC25A4/SDHA/NDUFB7/NDUFA8/COX6A1/COX6B1/ATP5F1C/NDUFS6/NDUFC2/NDUFAB1/ATP5MG/COX7A2/NDUFA2/TIMM50/COX7B/ATP5F1D/GOT2/NDUFA1/GPX4/UQCR11/COX5A/NDUFB8/SLC25A5/MPC1/NDUFS8/NDUFS7/AIFM1/NDUFA3/ECH1/IDH3B/UQCR10/RETSAT/NDUFS3/ATP5MF/CYB5R3/COX11/COX5B/FXN/MRPS12/COX8A/NDUFA9/ATP6V0E1/MRPS11/UQCRC2/ATP5MC3/PHB2/NDUFA4/ATP5F1E/SLC25A20/GPI/TOMM22/COX7A2L/HTRA2/ETFB/TCIRG1/ATP5PO/TIMM9/ACADVL/HADHA/NDUFS4/OXA1L/ECI1/ATP5PB/ATP6V0B/ATP5MC1/TIMM13/HADHB/NDUFB5/SDHB/RHOT2/SLC25A11/MDH1/MRPS30/MAOB/PRDX3/NDUFV1/ACAA1/COX7C/OAT/MRPL11"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.259259259259259,0.518518518518518,0.086794975677172,0.244329694070696,1.09833108393672,196,"MAGEE1/FZD8/SAT1/TPM1/VEGFA/SDC4/PLOD1/IGFBP4/ITGB5/MATN3/AREG/IL32/FUCA1/SFRP4/FMOD/LAMA1/MATN2/JUN/MYL9/LRP1/SFRP1/CD44/IGFBP3/NTM/GPX7/TPM2/PFN2/PPIB/TGFBI/SDC1/SERPINH1/MFAP5/LGALS1/MEST/NT5E/BMP1/ELN/EMP3/FOXC2/FBLN2/EFEMP2/CD59/RHOB/MMP14/LOXL1/CTHRC1/DAB2/FBLN1/TAGLN/IGFBP2/LOXL2/COMP/LRRC15/SGCB/ACTA2/PMP22/P3H1/FBN2/PLOD2/COL8A2/CDH11/SGCD/CAPG/FBN1/TNFRSF12A/COL6A2/VEGFC/BASP1/COL12A1/SERPINE2/CALD1/FBLN5/SLIT2/COL11A1/FSTL1/THY1/ECM1/SLIT3/FLNA/FAP/THBS2/FAS/NID2"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.366348448687351,0.704516247475675,0.0686325631836726,0.233044864962909,1.04165498522251,188,"PRSS23/SLC26A2/CISH/CACNA2D2/ACOX2/MYB/TFF3/IGSF1/CDH1/IGFBP4/IL17RB/DHRS2/SLC2A8/AREG/PRLR/TFF1/FDFT1/IDH2/ST14/CHPT1/CXCL14/MAPK13/SCARB1/NXT1/ARL3/CD44/SLC22A5/SERPINA5/GALE/CCN5/MOCS2/AMFR/SNX10/DYNLT3/CELSR2/PDCD4/LLGL2/MEST/FOS/PLXNB1/CD9/SIAH2/SLC24A3/DHCR7/NPY1R/XBP1/CLIC3/HOMER2/GINS2/PTGER3/BAG1/EGR3/BLVRB"
"HALLMARK_APOPTOSIS",0.402116402116402,0.744660003919263,0.159646701919906,-0.201257344574759,-1.01554998334594,155,"BCL2L11/BIRC3/PTK2/LMNA/ANXA1/CCND2/LEF1/GNA15/ETF1/CASP2/EMP1/BRCA1/RNASEL/PRF1/CAV1/ROCK1/CTH/PLCB2/AVPR1A/SATB1/SLC20A1/PPT1/DNM1L/CASP8/DAP3/MCL1/KRT18/PSEN1/PMAIP1/IL1B/IFNGR1/TOP2A/CASP1/DPYD/PEA15/DNAJC3/PLPPR4/HMOX1/CCND1/SPTAN1/IL18/CD38"
"HALLMARK_APICAL_SURFACE",0.497076023391813,0.857027626537608,0.0636424081651019,0.283828858153179,0.975469655892242,37,"TMEM8B/IL2RG/AKAP7/SLC2A4/NCOA6/B4GALT1/FLOT2/PKHD1/GATA3/SULF2"
"HALLMARK_MYOGENESIS",0.495694956949569,0.857027626537608,0.0555947097758869,0.225862217347646,0.989392183538102,155,"EPHB3/DAPK2/SORBS1/CTF1/SCD/ITGB5/SOD3/FABP3/PPFIA4/ENO3/PPP1R3C/TNNC2/PTGIS/STC2/FKBP1B/DES/IGF1/ATP6AP1/CASQ2/MYL6B/MYH11/IGFBP3/TPM2/PC/BHLHE40/SMTN/BIN1/SIRT2/COX7A1/LDB3/DMD/KCNH2"
"HALLMARK_ANDROGEN_RESPONSE",0.658666666666667,0.940952380952381,0.0462302524077616,0.222835303297187,0.907021440226986,96,"SLC26A2/SAT1/SCD/ANKH/NGLY1/AZGP1/RPS6KA3/HMGCS1/DBI/MAP7/ACSL3/IDI1/B4GALT1/DNAJB9/ADRM1/ZBTB10/BMPR1B/PLPP1/HSD17B14/FADS1/SPDEF/HOMER2/HMGCR"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.65347721822542,0.940952380952381,0.0417397034728504,0.206956106043759,0.925120613355539,190,"DHRS3/PRSS23/SLC26A2/CISH/MYB/ABAT/TFF3/PEX11A/IGFBP4/IL17RB/DHRS2/AREG/TFF1/FDFT1/TGIF2/OLFML3/CHPT1/STC2/SCARB1/NXT1/ARL3/CD44/SLC22A5/CCN5/AKAP1/HES1/BHLHE40/B4GALT1/ESRP2/AMFR/DYNLT3/CELSR2/GREB1/RARA/UNC119/TBC1D30/TSKU/FOS/SIAH2/SLC24A3/DHCR7/NPY1R/XBP1/CLIC3"
"HALLMARK_HEDGEHOG_SIGNALING",0.632132132132132,0.940952380952381,0.0535669384770951,0.268687591268375,0.897623653271147,33,"CNTFR/ETS2/VEGFA/SHH/LDB1/ADGRG1/GLI1/HEY1"
"HALLMARK_NOTCH_SIGNALING",0.594224924012158,0.940952380952381,0.0570059526582387,0.277193867009227,0.917794234905718,32,"SAP30/WNT2/MAML2/HES1/RBX1/DTX2/LFNG/PPARD"
