id	filename	md5	size	state
931b30b4-7afc-4bd6-8d14-48e93d30ef26	931b30b4-7afc-4bd6-8d14-48e93d30ef26/73f8f4d0-1a2a-44ae-9e99-be730660d7c7.rna_seq.augmented_star_gene_counts.tsv	b39dffade26fec7b7e2af4d991ff91e9	4220087	validated
122eb839-bee6-487a-9436-e39d6d4c2b98	122eb839-bee6-487a-9436-e39d6d4c2b98/aa786193-fb52-46b2-a71a-1b94cbf47810.rna_seq.augmented_star_gene_counts.tsv	708dcd4e21cc3d7c61ada033880b0c5d	4234020	validated
bb7dceb7-0d27-402b-8b9e-c45635c21e09	bb7dceb7-0d27-402b-8b9e-c45635c21e09/3c62910d-9304-40bd-a286-d3c1fa199d89.rna_seq.augmented_star_gene_counts.tsv	1835628c145a5d01d3d4f2f503e56871	4229268	validated
b2a1e9e0-8e02-4130-b4ac-78257a219d3d	b2a1e9e0-8e02-4130-b4ac-78257a219d3d/504282dd-4fef-4f70-a709-6a545d00a263.rna_seq.augmented_star_gene_counts.tsv	785c457aaf0e045b9fd70ec98ecc5918	4215948	validated
abfd3160-7c2a-4c9a-b4a7-ca5d96bc2ea4	abfd3160-7c2a-4c9a-b4a7-ca5d96bc2ea4/a6b176e9-f4fc-4188-9771-ab2f3e00a4a8.rna_seq.augmented_star_gene_counts.tsv	c8495b5993d4fdfc21e860e72b00333f	4205003	validated
a1492508-2806-43d9-a61d-b125990094f6	a1492508-2806-43d9-a61d-b125990094f6/ba37d677-fb91-4aab-80a9-b2fd0bc39057.rna_seq.augmented_star_gene_counts.tsv	8a1e93fc7a342cbdadd8273b2a986443	4213742	validated
e3b0ae1b-b833-4fe6-824e-3dccd3f33f02	e3b0ae1b-b833-4fe6-824e-3dccd3f33f02/a545f8c1-39e3-48cc-8c22-897c5d3a21ea.rna_seq.augmented_star_gene_counts.tsv	9a818814deabe2d07b8d716afd882b49	4244265	validated
6e0eb808-86db-4d35-9d27-76f645a351a9	6e0eb808-86db-4d35-9d27-76f645a351a9/5cfccf66-7f7d-4385-96c8-8628a3cdbecb.rna_seq.augmented_star_gene_counts.tsv	bfe721aac92d334757e1c8f2bf372c6e	4205957	validated
e1d77ede-9f49-4c65-91ee-2685203f60a5	e1d77ede-9f49-4c65-91ee-2685203f60a5/701e70ac-31d2-4e78-95e1-3fa2bb466e83.rna_seq.augmented_star_gene_counts.tsv	2bf4029cc7993e8abc78992606ac8f2a	4205803	validated
b6601198-05ba-45f7-b927-0760a05001b3	b6601198-05ba-45f7-b927-0760a05001b3/cbd54c6f-2634-4ac6-ba5a-73cb4680867a.rna_seq.augmented_star_gene_counts.tsv	7a2db9ee08a003c8af3274cdd47998de	4240122	validated
98bbf790-88fd-4fc0-a17a-5ffd51fbf05b	98bbf790-88fd-4fc0-a17a-5ffd51fbf05b/6d64d560-bb58-4868-bf12-d6833b626721.rna_seq.augmented_star_gene_counts.tsv	579c2e1cea5dfaba1d8c93c250b7d9cb	4211168	validated
