"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_DNA_REPAIR",0.589424572317263,0.726664221529433,0.0584693210386381,0.20166765578927,0.935094909748041,147,"POLR2I/POLR1H/TK2/ADRM1/RAE1/SRSF6/POLR2H/CETN2/NCBP2/EIF1B/NME4/NME3/TAF9/PCNA/BCAP31/NELFCD/MPC2/BRF2/DGUOK/NUDT9/MPG/TAF10/IMPDH2/POLL/SAC3D1/NT5C/POLR2G/TARBP2/POLR2C/USP11/GTF3C5/CDA/STX3/NME1/POLD4/XPC/POLA1/GTF2H5/RBX1/TSG101/RPA3/VPS37D/AAAS/LIG1/TP53/ADCY6/POLD1/POLR2J/ERCC2/SNAPC5/DDB2/AK3/ITPA/RFC5/APRT"
"HALLMARK_PANCREAS_BETA_CELLS",0.595864661654135,0.726664221529433,0.0670512579829467,0.292109456369765,0.906465358980387,22,"PKLR/SYT13/SPCS1/FOXA2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.570446735395189,0.726664221529433,0.0647943366000727,0.247828240044057,0.932549112124676,47,"NDUFB4/CAT/GLRX/MSRA/PRDX4/LAMTOR5/EGLN2/ABCC1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.629722921914358,0.74967014513614,0.0791316651768349,-0.203699634919518,-0.922159284463731,98,"LCK/SLA/CAMK4/STAT2/TIAM1/SMAD2/PRKCB/PIK3R3/ITPR2/MAPKAP1/DAPP1/MAP3K7/GNA14/MAPK1/RIT1/CAB39/CXCR4"
"HALLMARK_P53_PATHWAY",0.80625,0.91991341991342,0.0442407423477375,0.183130802088773,0.872248481318885,191,"CYFIP2/KLK8/ABAT/H2AJ/SESN1/IP6K2/BLCAP/PRKAB1/PROCR/ACVR1B/ST14/SOCS1/MAPKAPK3/TRAF4/CCND2/SDC1/RAB40C/ANKRA2/VWA5A/HINT1/SLC35D1/PCNA/RACK1/FAM162A/FOXO3/COQ8A/TRIB3/NDRG1/IER3/TNFSF9/RPL36/KIF13B/IL1A/BTG2/RRP8/AEN/OSGIN1/GPX2/PMM1/CDKN1A/SERTAD3/RAD9A/SAT1/TSC22D1/FGF13"
"HALLMARK_SPERMATOGENESIS",0.80952380952381,0.91991341991342,0.066132620475844,-0.193232822332108,-0.840799856303043,79,"CAMK4/SHE/JAM3/TLE4/MLF1/GFI1/NEK2/STAM2/ALOX15/IL12RB2/MLLT10/TTK/PIAS2/SEPTIN4"
"HALLMARK_MTORC1_SIGNALING",0.865384615384615,0.941695051091965,0.0673623868166279,-0.170791225412725,-0.861423499937404,196,"BCAT1/POLR3G/SLA/SLC2A3/MCM4/WARS1/TXNRD1/MLLT11/ITGB2/NIBAN1/ATP6V1D/PIK3R3/FGL2/LGMN/UCHL5/EPRS1/NUP205/DAPP1/CACYBP/RIT1/VLDLR/DHFR/CXCR4/COPS5/TCEA1/MTHFD2/CTSC/ETF1/SKAP2/ME1/STIP1/RPA1/GCLC/ACTR2"
"HALLMARK_NOTCH_SIGNALING",0.866359447004608,0.941695051091965,0.0588438169595807,-0.213841258185084,-0.760102482867604,32,"FZD1/NOTCH2/ST3GAL6/DLL1/NOTCH3/HEYL"
"HALLMARK_ADIPOGENESIS",0.948087431693989,1,0.0626618230932491,-0.16184380382098,-0.816932325674018,190,"FABP4/APOE/CD36/RAB34/BCL2L13/RIOK3/CAVIN1/COL15A1/COL4A1/ENPP2/SDHC/GPD2/BCL6/SSPN/ABCA1/ACADM/ANGPTL4/LIFR/LAMA4/C3/SPARCL1/PHLDB1/GPX3/CHUK/ITSN1/UBQLN1/MYLK/STOM/CDKN2C/FZD4/RNF11/CAVIN2/ME1/PTGER3"
"HALLMARK_MYC_TARGETS_V1",1,1,0.0342688261591917,0.125453015706599,0.600354690699152,198,"PSMA7/EIF2S2/RPL34/PRDX4/NCBP2/LDHA/EXOSC7/RPL14/PCNA/RACK1/FBL/PSMB3/RNPS1/MRPL23/SNRPB2/GNL3/RRP9/HSPE1/PGK1/RPS6/LSM2/RSL1D1/LSM7/ACP1/IMPDH2/PCBP1/RPS5/PSMB2/PSMD3/YWHAQ/DHX15/SNRPD2/GOT2/RPS2/H2AZ1/NME1/PSMC4/AIMP2/SRSF7/RPL18/NDUFAB1/VDAC1/TRIM28/COX5A/POLD2/PHB2/PRPS2/PSMA6/PSMD8/CCT4/EIF3B/SNRPG/RPLP0/PRPF31/MAD2L1/HNRNPD/SNRPA/TUFM/NOP16/CCT5/EIF1AX/HNRNPA1/ORC2/PSMA1/PRDX3/ODC1/EEF1B2/SF3B3/PPIA/CCNA2/RAN/RPS3/SRPK1/EIF4A1"
"HALLMARK_MYC_TARGETS_V2",1,1,0.0382416816260774,0.129864502180622,0.50269185400243,55,"TBRG4/LAS1L/GNL3/RRP9/HSPE1/DCTPP1/EXOSC5/RABEPK/SLC29A2/AIMP2/PUS1/NOC4L/SLC19A1/UNG/NOP16"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,1,0.0366850427613443,0.12002105252642,0.527459584072735,111,"VEGFA/ARFGAP1/TATDN2/SPCS1/WFS1/CEBPB/ALDH18A1/DKC1/PDIA6/LSM1/DCP1A/PREB/RRP9/KIF5B/EXOSC5/PARN/EIF4EBP1/EDC4/DDIT4/RPS14/IMP3"
