"Index","baseMean","log2FoldChange","lfcSE","pvalue","padj","stat","gene.symbol"
1,5049.9298716633,0.0946615713881471,0.170571252191585,0.0131509831160737,0.222976178037904,2.47965425915281,"TSPAN6"
2,53.2219813585589,0.00162861284292257,0.0874593527807296,0.905495895829648,0.977907727282305,0.118721634609896,"TNMD"
3,1609.47397858683,0.0626286657973117,0.108939243962201,0.0696717140415673,0.433112620705604,1.8140390497431,"DPM1"
4,394.8441323775,0.00357448258402082,0.0763754623962477,0.922675174818256,0.982016575891418,0.0970644972044731,"SCYL3"
5,302.912414676172,-0.000291085094430236,0.0798710332757052,0.987833518818058,0.99689678509423,-0.0152490138277866,"C1orf112"
6,165.088349911258,-0.0871137390128688,0.147254599875692,0.0291871760943691,0.300916781071363,-2.18094917277127,"FGR"
7,605.682553180938,-0.763251973397138,0.371348363337991,0.00189776898754185,0.103977768460771,-3.10578148623,"CFH"
8,1993.02976120318,0.008765852929487,0.0769537454550369,0.836134771963573,0.960789743233958,0.206840056517453,"FUCA2"
9,1255.73430830544,-0.0489380646078253,0.086298575489176,0.271705405420349,0.699841526629925,-1.09914366751865,"GCLC"
10,928.423191254821,0.00329826229104824,0.0744310024166543,0.939134690600267,0.98697016212333,0.0763574878502372,"NFYA"
11,265.048814068938,-0.0161936634758473,0.0826814494870197,0.619012745208485,0.891901735919431,-0.497250029719235,"STPG1"
12,1093.46293153537,-0.031005789190546,0.0814207777410646,0.441015267224977,0.813549227264995,-0.770479910818899,"NIPAL3"
13,1947.53782385316,0.0550912507200253,0.0997352912246217,0.164870678301807,0.594394679365498,1.38887528120667,"LAS1L"
14,711.372974633669,-0.00209031358672683,0.0817277683732173,0.975356261328126,0.994684979041034,-0.0308912584700153,"ENPP4"
15,1321.7991532091,0.0171349984695835,0.0870200931180954,0.492817316509502,0.838022706303434,0.685834756096014,"SEMA3F"
16,5364.46685920922,0.0424856760792389,0.0970499497804364,0.192754901701495,0.622203015751669,1.30247253246593,"CFTR"
17,1324.85000861014,-0.0363454469585776,0.0795953391071581,0.402864360479101,0.789526249609374,-0.836516567230108,"ANKIB1"
18,212.556687451335,0.0255040616924592,0.0900612063812296,0.290090856982563,0.714247188579509,1.05792232326106,"CYP51A1"
19,173.585743906783,-0.0193762657597772,0.0778850574370198,0.62312725928561,0.892763035757726,-0.491423057781145,"KRIT1"
20,284.460224213222,0.0188265911454263,0.0821867864755342,0.522176353925042,0.850631359802058,-0.639994224902742,"RAD52"
21,436.275746087611,0.0044778331480586,0.0849946961657181,0.795222612319126,0.949221469236541,0.259534829519583,"BAD"
22,2642.57067361262,-0.0458498354851039,0.0878601986772169,0.261538637196882,0.691525153291292,-1.12276188470231,"LAP3"
23,5492.35867241583,-0.00801931798139851,0.0814293974460677,0.948012562686476,0.989195444048846,-0.0652027612041342,"CD99"
24,360.709607628685,0.0407915090436517,0.0967126934101152,0.206835747475341,0.637549189147896,1.26231420437503,"HS3ST1"
25,7452.87556763477,-0.0129596836129955,0.0865725431848665,0.5266854105836,0.852907657363133,-0.63307386139227,"AOC1"
26,31.7028987671873,-0.0476573097242379,0.104745175240062,0.0461515593528334,0.365067952411211,-1.99400453103109,"HECW1"
27,9302.95208311067,0.0561017698247575,0.0954359522533774,0.20422873443917,0.634561799278015,1.26959555254979,"LASP1"
28,722.947904577308,0.0127018703398258,0.0773395899991705,0.731432183924646,0.931369221953312,0.343221031276154,"SNX11"
29,7400.17927445743,0.00803439304127784,0.0857398072853972,0.743250295495465,0.934792127029191,0.327552164271742,"TMEM176A"
30,2063.86644406114,0.0137891327084063,0.0816489256867382,0.600190331093657,0.88633317161863,0.524126826367998,"M6PR"
31,180.140538647784,0.0174282225350326,0.0904373753581636,0.0870986112795306,0.471680231237725,1.71090521764986,"KLHL13"
32,56.4478400653564,-0.00930532194027608,0.0864169449305518,0.658421209584754,0.906008124642248,-0.442093967411412,"CYP26B1"
33,1843.55991807412,0.0760220047845738,0.113574541632789,0.0983773881943132,0.497503256795138,1.65277144229537,"ICA1"
34,849.288761773504,-0.0161811766173305,0.0861011826369071,0.548048325148427,0.863120641630519,-0.600687231370956,"DBNDD1"
35,527.578694539764,-0.0217600047240589,0.0820497882113574,0.542484784742891,0.860075106284208,-0.609059826326533,"ALS2"
36,1022.67980649377,-0.0225286607155198,0.0829766010158817,0.451800533005296,0.818172007452186,-0.752416656391327,"CASP10"
37,2015.43687425758,0.0151549012934432,0.0735172480259875,0.870609847738173,0.969126877567954,0.162883899658719,"CFLAR"
38,380.328913601252,-0.031416795497669,0.0925277308111462,0.338405941729951,0.750425003886308,-0.957319646950727,"TFPI"
39,391.054586500576,0.0794540940027172,0.106405527185356,0.113730638438286,0.524967233047293,1.58164498492908,"NDUFAF7"
40,1627.07871016809,0.148533846387013,0.177225634084175,0.0260006622465825,0.2891803083478,2.22620187785032,"RBM5"
41,88.8853386348231,-0.00893924619992948,0.0873719659156366,0.596294834212333,0.886120030969995,-0.52973621622623,"SLC7A2"
42,4450.77918992125,0.0271087102201327,0.0901274845921529,0.293135550122224,0.71566971736344,1.05126793378058,"ARF5"
43,158.834800123037,0.0221523247693054,0.0849495523395854,0.493672485827999,0.83895391331601,0.684479411533501,"SARM1"
44,4400.03899570821,0.00842545535470988,0.0755829325461609,0.76866287033257,0.942306235121764,0.294124368912363,"POLDIP2"
45,1837.02867313015,-0.0647704310998931,0.114536433914689,0.125634802793795,0.541819112506714,-1.53154480120963,"PLXND1"
46,3969.41064713413,0.020521722720125,0.0795634994961663,0.560578959924751,0.871126343335489,0.581981770474453,"AK2"
47,115.748136578156,-0.0399605349641107,0.0988837819572082,0.0824226773667125,0.461330337951102,-1.73679887695857,"CD38"
48,5532.46096251725,-1.27131227295465,0.220455309942812,0.916960652959713,0.980977183104227,0.104262983114236,"FKBP4"
49,3523.40178054518,0.0119239431443645,0.0783714525432414,0.748335278117277,0.935648853262466,0.320835205961575,"KDM1A"
50,1830.72220425931,0.0533550732482946,0.102696787502006,0.0908613819989847,0.48169735044224,1.69087131988339,"RBM6"
51,427.233763982107,0.0320765655759774,0.0885548685314971,0.333182400171702,0.744873296935588,0.967723656659489,"CAMKK1"
52,433.164554417246,-0.279053677734839,0.219432670871597,0.00959135783739297,0.196118674549462,-2.59022371364612,"RECQL"
53,670.435300478772,-0.0898326860953018,0.116717341167296,0.0916038906039059,0.484092263499568,-1.68699719871813,"VPS50"
54,125.323563628728,-0.0233919557171962,0.0913551086600801,0.166992283399504,0.595929773709399,-1.38193297013902,"HSPB6"
55,276.320358648163,0.0372092448342514,0.0961004069348537,0.142798964522316,0.56388974186333,1.46544713878396,"ARHGAP33"
